title,text,text_clean,text_lemma
"Путин рассказал об урегулировании конфликта на Украине и сотрудничестве с Индией Вчера, 20:37","МОСКВА, 4 дек — РИА Новости. Владимир Путин в преддверии визита в Индию дал интервью телеканалу India Today. Он рассказал о сотрудничестве России и Индии в разных областях, ситуации вокруг украинского кризиса и перспективах отношений с США. Ключевые заявления — в материале РИА Новости. Президент назвал СВО попыткой закончить войну, развязанную Западом. Он добавил, что Москва защищает свои интересы и людей, а менталитет киевских властей напоминает неонацистский режим. Своим решением продолжить конфликт они практически загнали себя в угол. Путин также подчеркнул, что Россия не аннексировала Крым, а пришла на помощь его жителям, которые не хотели связывать свою жизнь с теми, кто устроил госпереворот на Украине. Кроме того, российский лидер высказался о стремлении Вашингтона урегулировать ситуацию на Украине и заявил, что искренне верит в гуманитарные соображения, которыми руководствуется президент США Дональд Трамп. При этом политические и экономические интересы тоже играют роль в усилиях американского лидера добиться мира. Путин обратил внимание на взаимодействие двух государств в оборонной, торговой и энергетической сферах. Он подчеркнул, что отношения Москвы и Нью-Дели не причиняют вреда третьим странам. Помимо этого, глава государства рассказал, что Россия не просто продает Индии оборонные технологии, а делится ими. Это редкость в области военного сотрудничества и говорит об уровне доверия. Президент также признался, что очень хотел бы, чтобы национальные цели двух стран совпадали: Как отметил Путин, восстановление экономических отношений между Москвой и Вашингтоном было бы полезно во многих областях. Он добавил, что крупные американские компании направляют письма, в которых просят не забывать о том, что они есть. Кроме того, США по-прежнему покупают топливо для атомных электростанций у России. Нужно шире использовать возможности Нового банка развития объединения и применения национальных валют. Президент отметил, что в этом вопросе никуда нельзя спешить, чтобы избежать грубых ошибок. Он привел в пример Европу, где ввели систему единой валюты, когда некоторые страны были к этому не готовы. Реинтеграция Советского Союза невозможна и бессмысленна, таких целей нет, подчеркнул Путин. При этом на Западе продолжают говорить о том, что Россия мечтает вернуть СССР. Российский лидер добавил, что не стал бы перекладывать ответственность за распад советского государства на отдельных людей, отметив, что в целом несостоятельной оказалась сама система.",владимир преддверии визита индию дал интервью телеканалу india today рассказал сотрудничестве россии индии разных областях ситуации вокруг украинского кризиса перспективах отношений ключевые заявления материале президент назвал сво попыткой закончить войну развязанную западом защищает свои интересы людей менталитет киевских властей напоминает неонацистский режим своим решением продолжить конфликт практически загнали себя угол подчеркнул аннексировала крым пришла помощь жителям которые хотели связывать свою жизнь теми кто устроил госпереворот украине кроме того российский лидер высказался стремлении вашингтона урегулировать ситуацию украине искренне верит гуманитарные соображения которыми руководствуется президент дональд трамп политические экономические интересы тоже играют роль усилиях американского лидера добиться мира обратил внимание взаимодействие двух государств оборонной торговой энергетической сферах подчеркнул отношения москвы нью дели причиняют вреда третьим странам помимо этого глава государства рассказал просто продает индии оборонные технологии делится ими это редкость области военного сотрудничества говорит уровне доверия президент признался очень хотел чтобы национальные цели двух стран совпадали восстановление экономических отношений между москвой вашингтоном было полезно многих областях крупные американские компании направляют письма которых просят забывать том есть кроме того прежнему покупают топливо атомных электростанций россии нужно шире использовать возможности нового банка развития объединения применения национальных валют президент вопросе никуда нельзя спешить чтобы избежать грубых ошибок привел пример европу где ввели систему единой валюты когда некоторые страны были этому готовы реинтеграция советского союза невозможна бессмысленна таких целей нет подчеркнул западе продолжают говорить том мечтает вернуть ссср российский лидер стал перекладывать ответственность распад советского государства отдельных людей отметив целом несостоятельной оказалась сама система,владимир преддверие визит индия дать интервью телеканал india today рассказать сотрудничество россия индия разный область ситуация вокруг украинский кризис перспектива отношение ключевой заявление материал президент назвать сво попытка закончить война развязать запад защищать свой интерес человек менталитет киевский власть напоминать неонацистский режим свой решение продолжить конфликт практически загнать себя угол подчеркнуть аннексировать крым прийти помощь житель который хотеть связывать свой жизнь тот кто устроить госпереворот украина кроме тот российский лидер высказаться стремление вашингтон урегулировать ситуация украина искренне верить гуманитарный соображение который руководствоваться президент дональд трамп политический экономический интерес тоже играть роль усилие американский лидер добиться мир обратить внимание взаимодействие два государство оборонный торговый энергетический сфера подчеркнуть отношение москва нью дели причинять вред третий страна помимо это глава государство рассказать просто продавать индия оборонный технология делиться они это редкость область военный сотрудничество говорить уровень доверие президент признаться очень хотеть чтобы национальный цель два страна совпадать восстановление экономический отношение между москва вашингтон быть полезно многий область крупный американский компания направлять письмо который просить забывать тот есть кроме тот прежний покупать топливо атомный электростанция россия нужно широкий использовать возможность новый банк развитие объединение применение национальный валюта президент вопрос никуда нельзя спешить чтобы избежать грубый ошибка привести пример европа где ввести система единый валюта когда некоторый страна быть этот готовый реинтеграция советский союз невозможный бессмысленный такой цель нет подчеркнуть запад продолжать говорить тот мечтать вернуть ссср российский лидер стать перекладывать ответственность распад советский государство отдельный человек отметить целое несостоятельный оказаться сам система
"МВФ призвал соблюдать международное право в отношении замороженных российских активов Вчера, 21:45","ВАШИНГТОН, 4 дек — РИА Новости. В отношении российских замороженных средств должно соблюдаться международное право, заявила директор по коммуникациям МВФ Джули Козак. Сегодня официальный представитель МИД Мария Захарова предупредила, что Москва готовит ответные меры на случай изъятия ее активов Европейским союзом. Она также назвала идею Брюсселя использовать чужие средства для ""репарационного кредита"" Киеву неадекватной. Дипломат отметила, что этот план нанесет ущерб самому объединению. После начала спецоперации Евросоюз и страны G7 заблокировали около половины российских валютных резервов. Более 200 миллиардов евро находится в ЕС, в основном на счетах Euroclear — одной из крупнейших в мире расчетно-клиринговых систем, ее офис располагается в Бельгии. Брюссель, обещавший помогать Киеву настолько долго, насколько потребуется, исчерпал все имевшиеся ресурсы, а выделять деньги из собственного бюджета страны сообщества не хотят. На этом фоне Еврокомиссия добивается согласия Бельгии на использование российских активов. Речь идет о сумме в размере от 185 до 210 миллиардов евро в рамках так называемого репарационного кредита. Утверждается, что Украина вернет его после окончания конфликта, если Москва ""выплатит ей материальный ущерб"". В качестве ответной меры Москва ввела ограничения: активы иностранных инвесторов из недружественных стран и доходы от них аккумулируются на специальных счетах типа ""С"". Выводить их можно только по решению специальной правительственной комиссии.",вашингтон отношении российских замороженных средств должно соблюдаться международное право заявила директор коммуникациям мвф джули козак сегодня официальный представитель мария захарова предупредила готовит ответные меры случай изъятия активов европейским союзом она назвала идею брюсселя использовать чужие средства репарационного кредита киеву неадекватной дипломат отметила этот план нанесет ущерб самому объединению начала спецоперации евросоюз страны заблокировали около половины российских валютных резервов более миллиардов находится основном счетах euroclear одной крупнейших мире расчетно клиринговых систем офис располагается бельгии брюссель обещавший помогать киеву настолько долго насколько потребуется исчерпал все имевшиеся ресурсы выделять деньги собственного бюджета страны сообщества хотят фоне еврокомиссия добивается согласия бельгии использование российских активов речь идет сумме размере миллиардов рамках называемого репарационного кредита утверждается вернет окончания конфликта если выплатит материальный ущерб качестве ответной меры ввела ограничения активы иностранных инвесторов недружественных стран доходы них аккумулируются специальных счетах типа выводить можно только решению специальной правительственной комиссии,вашингтон отношение российский заморозить средство должный соблюдаться международный право заявить директор коммуникация мвф джуля козак сегодня официальный представитель мария захаров предупредить готовить ответный мера случай изъятие актив европейский союз она назвать идея брюссель использовать чужой средство репарационный кредит киев неадекватный дипломат отметить этот план нанести ущерб сам объединение начало спецоперация евросоюз страна заблокировать около половина российский валютный резерв более миллиард находиться основное счёт euroclear один крупный мир расчётный клиринговый система офис располагаться бельгия брюссель обещать помогать киев настолько долго насколько потребоваться исчерпать всё иметься ресурс выделять деньга собственный бюджет страна сообщество хотеть фон еврокомиссия добиваться согласие бельгия использование российский актив речь идти сумма размер миллиард рамка называть репарационный кредит утверждаться вернуть окончание конфликт если выплатить материальный ущерб качество ответный мера ввести ограничение актив иностранный инвестор недружественный страна доход они аккумулироваться специальный счёт тип выводить можно только решение специальный правительственный комиссия
"Турция выразила Киеву озабоченность из-за атак ВСУ на суда в Черном море Вчера, 18:30","АНКАРА, 4 дек — РИА Новости. Турция выразила послу Украины обеспокоенность атаками ВСУ на суда в Черном море, сообщил источник РИА Новости. ""Встреча с украинским послом (Нериманом Джелялом. — Прим. ред.) в Анкаре состоялась в начале недели, была доведена озабоченность Турции последними инцидентами на Черном море"", — сказал собеседник агентства. Во вторник Управление мореходства Турции сообщило, что российский танкер MIDVOLGA-2 с подсолнечным маслом подвергся атаке. Необходимости в помощи не возникло. В прошлую пятницу в 28 милях от Турции в Черном море загорелся танкер Kairos под флагом Гамбии, шедший в Новороссийск. Оттуда эвакуировали 25 членов экипажа. Пожар потушили лишь спустя почти двое суток. В этот же день удару подвергся танкер Virat, находившийся в 35 милях от турецких берегов. Экипаж из 20 человек отказался покидать судно. В субботу его снова атаковали безэкипажные морские катера. Как отметила представитель МИД России Мария Захарова , в этих терактах киевский режим задействовал те же силы, которые однажды уже сорвали диалог по урегулированию и теперь вновь добиваются вооруженной эскалации. В свою очередь, пресс-секретарь президента Дмитрий Песков назвал украинские атаки посягательством на суверенитет Турции.",анкара турция выразила послу украины обеспокоенность атаками суда черном море источник встреча украинским послом нериманом джелялом прим ред анкаре состоялась начале недели была доведена озабоченность турции последними инцидентами черном море собеседник агентства вторник управление мореходства турции сообщило российский танкер midvolga подсолнечным маслом подвергся атаке необходимости помощи возникло прошлую пятницу милях турции черном море загорелся танкер kairos флагом гамбии шедший новороссийск оттуда эвакуировали членов экипажа пожар потушили лишь спустя почти двое суток этот день удару подвергся танкер virat находившийся милях турецких берегов экипаж человек отказался покидать судно субботу снова атаковали безэкипажные морские катера отметила представитель россии мария захарова этих терактах киевский режим задействовал силы которые однажды уже сорвали диалог урегулированию теперь вновь добиваются вооруженной эскалации свою очередь пресс секретарь президента дмитрий песков назвал украинские атаки посягательством суверенитет турции,анкара турция выразить посол украина обеспокоенность атака суд чёрный море источник встреча украинский посол нериман джелял прим ред анкара состояться начало неделя быть довести озабоченность турция последний инцидент чёрный море собеседник агентство вторник управление мореходство турция сообщить российский танкер midvolga подсолнечный масло подвергнуться атака необходимость помощь возникнуть прошлый пятница миля турция чёрный море загореться танкер kairos флаг гамбия идти новороссийск оттуда эвакуировать член экипаж пожар потушить лишь спустя почти двое сутки этот день удар подвергнуться танкер virat находиться миля турецкий берег экипаж человек отказаться покидать судно суббота снова атаковать безэкипажный морской катер отметить представитель россия мария захаров этот теракт киевский режим задействовать сила который однажды уже сорвать диалог урегулирование теперь вновь добиваться вооружённый эскалация свой очередь пресс секретарь президент дмитрий песок назвать украинский атака посягательство суверенитет турция
"Системы ПВО сбили 44 украинских дрона над пятью российскими регионами Вчера, 23:25","МОСКВА, 4 дек — РИА Новости. Силы противовоздушной обороны сбили 44 дрона ВСУ над пятью российскими регионами, сообщило Минобороны. Так, российские бойцы сбили 30 БПЛА над Курской областью , восемь — над Ростовской, три — над Белгородской, два — над Воронежской и один — над Брянской. В ответ на атаки ВСУ на гражданскую инфраструктуру российские войска наносят удары высокоточным оружием воздушного, морского и наземного базирования, а также дронами исключительно по военным объектам и предприятиям украинского ВПК.",силы противовоздушной обороны сбили дрона над пятью российскими регионами сообщило минобороны российские бойцы сбили бпла над курской областью восемь над ростовской три над белгородской два над воронежской один над брянской ответ атаки гражданскую инфраструктуру российские войска наносят удары высокоточным оружием воздушного морского наземного базирования дронами исключительно военным объектам предприятиям украинского впк,сила противовоздушный оборона сбить дрон над пять российский регион сообщить минобороны российский боец сбить бпнуть над курский область восемь над ростовский три над белгородский два над воронежский один над брянский ответ атака гражданский инфраструктура российский войско наносить удар высокоточный оружие воздушный морской наземный базирование дрон исключительно военный объект предприятие украинский впк
"В России заблокировали SnapChat Вчера, 19:17","МОСКВА, 4 дек — РИА Новости. Роскомнадзор заблокировал SnapChat на территории России. В ведомстве добавили, что мессенджер используется для организации терактов и вербовки их исполнителей, а также совершения мошеннических и других преступлений против россиян. Ранее РКН ввел ограничения против встроенного сервиса видеосвязи от Apple — FaceTime. Как заявил РИА Новости член комитета Госдумы по информационной политике, технологиям и связи Антон Немкин, такое решение оправданно, так как в приоритете защита граждан. Он добавил, что многие международные компании игнорируют требования законодательства, поэтому остается только один механизм — ограничительные меры, чтобы закрыть преступникам каналы связи.",роскомнадзор заблокировал snapchat территории россии ведомстве добавили мессенджер используется организации терактов вербовки исполнителей совершения мошеннических других преступлений против россиян ранее ркн ввел ограничения против встроенного сервиса видеосвязи apple facetime член комитета госдумы информационной политике технологиям связи антон немкин такое решение оправданно приоритете защита граждан многие международные компании игнорируют требования законодательства поэтому остается только один механизм ограничительные меры чтобы закрыть преступникам каналы связи,роскомнадзор заблокировать snapchat территория россия ведомство добавить мессенджер использоваться организация теракт вербовка исполнитель совершение мошеннический другой преступление против россиянин ранее ркн ввести ограничение против встроить сервис видеосвязь apple facetime член комитет госдума информационный политика технология связь антон немкина такой решение оправданный приоритет защита гражданин многие международный компания игнорировать требование законодательство поэтому оставаться только один механизм ограничительный мера чтобы закрыть преступник канал связь
"В США раскрыли, какой ""сюрприз"" ждет Украину Вчера, 13:39","МОСКВА, 4 дек — РИА Новости. Бывший верховный главнокомандующий объединенными вооруженными силами НАТО в Европе Джеймс Ставридис изложил суровую правду относительно помощи Украине. Об этом он написал в статье для Bloomberg. ""ЕС, как и НАТО, обычно действует на основе консенсуса: остановить инициативу может одна страна. (В данном случае это, скорее всего, Бельгия или Венгрия Виктора Орбана…)"" — говорится в материале. Кроме того, по его мнению, действия США по урегулированию украинского конфликта могут столкнуться с трудностями. Так, премьер-министр Бельгии Барт Де Вевер указывал, что заем на репарационный кредит Украине под замороженные российские активы в нынешнем виде может стать ""камнем преткновения"" на параллельных переговорах между американской администрацией и Россией, напомнил Ставридис. Еврокомиссия пытается добиться согласия стран ЕС на использование российских суверенных активов для Киева . Обсуждается сумма от 185 миллиардов евро до 210 миллиардов евро в виде кредита, который Украина условно должна будет вернуть после окончания конфликта и в случае ""выплаты ей Москвой материального ущерба"". При этом в МИД уже заявляли, что идеи ЕС о выплате Россией репараций украинской стороне оторваны от реальности, Брюссель давно занимается воровством активов России. В качестве ответной меры на заморозку активов Россия ввела собственные ограничения: активы иностранных инвесторов из недружественных стран и доходы от них аккумулируются на специальных счетах типа ""С"". Выводить их можно только по решению специальной правительственной комиссии.",бывший верховный главнокомандующий объединенными вооруженными силами нато европе джеймс ставридис изложил суровую правду относительно помощи украине написал статье bloomberg нато обычно действует основе консенсуса остановить инициативу может одна страна данном случае это скорее всего бельгия или венгрия виктора орбана говорится материале кроме того мнению действия урегулированию украинского конфликта могут столкнуться трудностями премьер министр бельгии барт вевер указывал заем репарационный кредит украине замороженные российские активы нынешнем виде может стать камнем преткновения параллельных переговорах между американской администрацией россией напомнил ставридис еврокомиссия пытается добиться согласия стран использование российских суверенных активов киева обсуждается сумма миллиардов миллиардов виде кредита который условно должна будет вернуть окончания конфликта случае выплаты москвой материального ущерба уже заявляли идеи выплате россией репараций украинской стороне оторваны реальности брюссель давно занимается воровством активов россии качестве ответной меры заморозку активов ввела собственные ограничения активы иностранных инвесторов недружественных стран доходы них аккумулируются специальных счетах типа выводить можно только решению специальной правительственной комиссии,бывший верховный главнокомандующий объединить вооружённый сила нато европа джеймс ставридис изложить суровый правда относительно помощь украина написать статья bloomberg нато обычно действовать основа консенсус остановить инициатива мочь один страна данный случай это скорее весь бельгия или венгрия виктор орбан говориться материал кроме тот мнение действие урегулирование украинский конфликт мочь столкнуться трудность премьер министр бельгия барт вевера указывать заесть репарационный кредит украина заморозить российский актив нынешний вид мочь стать камень преткновение параллельный переговоры между американский администрация россия напомнить ставридис еврокомиссия пытаться добиться согласие страна использование российский суверенный актив киев обсуждаться сумма миллиард миллиард вид кредит который условно должный быть вернуть окончание конфликт случай выплата москва материальный ущерб уже заявлять идея выплата россия репарация украинский сторона оторвать реальность брюссель давно заниматься воровство актив россия качество ответный мера заморозка актив ввести собственный ограничение актив иностранный инвестор недружественный страна доход они аккумулироваться специальный счёт тип выводить можно только решение специальный правительственный комиссия
"Россия готовит ответные меры на случай изъятия ее активов, заявила Захарова Вчера, 14:47","С.-ПЕТЕРБУРГ, 4 дек — РИА Новости. Москва готовит ответные меры на случай изъятия ее активов Европейским союзом, заявила официальный представитель МИД Мария Захарова. ""Любые противоправные действия с нашими активами не останутся без самой жесткой реакции. <...> Подготовка пакета ответных мер на случай фактического воровства, изъятия активов Российской Федерации уже ведется"", — сказала она на брифинге. Дипломат не уточнила, каким именно будет ответ, но подчеркнула, что ЕС станет о нем известно. Официальный представитель МИД назвала идею ЕС использовать чужие средства для ""репарационного кредита"" Киеву неадекватной. По ее словам, этот план нанесет ущерб самому объединению. После начала спецоперации Евросоюз и страны G7 заблокировали около половины российских валютных резервов . Более 200 миллиардов евро находится в ЕС, в основном на счетах Euroclear — одной из крупнейших в мире расчетно-клиринговых систем, ее офис располагается в Бельгии. Брюссель, обещавший помогать Киеву настолько долго, насколько потребуется, исчерпал все имевшиеся ресурсы, а выделять деньги из собственного бюджета страны сообщества не хотят. На этом фоне Еврокомиссия добивается согласия Бельгии на использование российских активов. Речь идет о сумме в размере от 185 до 210 миллиардов евро в рамках так называемого репарационного кредита. Утверждается, что Украина вернет его после окончания конфликта, если Москва ""выплатит ей материальный ущерб"". В качестве ответной меры Москва ввела ограничения: активы иностранных инвесторов из недружественных стран и доходы от них аккумулируются на специальных счетах типа ""С"". Выводить их можно только по решению специальной правительственной комиссии.",петербург готовит ответные меры случай изъятия активов европейским союзом заявила официальный представитель мария захарова любые противоправные действия нашими активами останутся без самой жесткой реакции подготовка пакета ответных мер случай фактического воровства изъятия активов российской федерации уже ведется сказала она брифинге дипломат уточнила каким именно будет ответ подчеркнула станет нем известно официальный представитель назвала идею использовать чужие средства репарационного кредита киеву неадекватной словам этот план нанесет ущерб самому объединению начала спецоперации евросоюз страны заблокировали около половины российских валютных резервов более миллиардов находится основном счетах euroclear одной крупнейших мире расчетно клиринговых систем офис располагается бельгии брюссель обещавший помогать киеву настолько долго насколько потребуется исчерпал все имевшиеся ресурсы выделять деньги собственного бюджета страны сообщества хотят фоне еврокомиссия добивается согласия бельгии использование российских активов речь идет сумме размере миллиардов рамках называемого репарационного кредита утверждается вернет окончания конфликта если выплатит материальный ущерб качестве ответной меры ввела ограничения активы иностранных инвесторов недружественных стран доходы них аккумулируются специальных счетах типа выводить можно только решению специальной правительственной комиссии,петербург готовить ответный мера случай изъятие актив европейский союз заявить официальный представитель мария захаров любой противоправный действие наш актив остаться без сам жёсткий реакция подготовка пакет ответный мера случай фактический воровство изъятие актив российский федерация уже вестись сказать она брифинг дипломат уточнить какой именно быть ответ подчеркнуть стать немой известно официальный представитель назвать идея использовать чужой средство репарационный кредит киев неадекватный слово этот план нанести ущерб сам объединение начало спецоперация евросоюз страна заблокировать около половина российский валютный резерв более миллиард находиться основное счёт euroclear один крупный мир расчётный клиринговый система офис располагаться бельгия брюссель обещать помогать киев настолько долго насколько потребоваться исчерпать всё иметься ресурс выделять деньга собственный бюджет страна сообщество хотеть фон еврокомиссия добиваться согласие бельгия использование российский актив речь идти сумма размер миллиард рамка называть репарационный кредит утверждаться вернуть окончание конфликт если выплатить материальный ущерб качество ответный мера ввести ограничение актив иностранный инвестор недружественный страна доход они аккумулироваться специальный счёт тип выводить можно только решение специальный правительственный комиссия
